year,month,day,air_temp,rain,water_temp,water_fowl,date
2010,07,09,21,Yes,21.1,100,2010-07-09
2010,07,10,29,Yes,16,70,2010-07-10
2010,07,11,21,No,17.6,79,2010-07-11
2010,07,14,21,No,21.8,20,2010-07-14
2010,07,16,27,No,24.1,60,2010-07-16
2010,07,17,25,No,18.4,40,2010-07-17
2010,07,18,18,No,17,20,2010-07-18
2010,07,19,27,Yes,18.2,70,2010-07-19
2010,07,20,27,Yes,16,60,2010-07-20
2010,07,21,29,No,19.6,2,2010-07-21
2010,07,22,29,No,16.8,95,2010-07-22
2010,07,23,20,Yes,17.3,60,2010-07-23
2010,07,24,26,Yes,18.6,60,2010-07-24
2010,07,25,25,Yes,18.3,30,2010-07-25
2010,07,26,25,No,16.8,10,2010-07-26
2010,07,27,25,No,18.8,10,2010-07-27
2010,07,28,21,Yes,21.4,15,2010-07-28
2010,07,29,25,Yes,17.7,15,2010-07-29
2010,07,31,14,No,17.1,20,2010-07-31
2010,08,01,18,Yes,19,25,2010-08-01
2010,08,02,19,No,19.9,20,2010-08-02
2010,05,25,26,No,16,75,2010-05-25
2010,05,26,31,No,15,30,2010-05-26
2010,05,27,27,No,17.3,10,2010-05-27
2010,05,28,22,No,14.7,2,2010-05-28
2010,05,31,22,No,17.9,5,2010-05-31
2010,06,01,20,Yes,17.7,50,2010-06-01
2010,06,02,22,No,18.4,15,2010-06-02
2010,06,03,17,Yes,17.1,50,2010-06-03
2010,06,05,24,Yes,19.2,62,2010-06-05
2010,06,06,12,Yes,14,24,2010-06-06
2010,06,07,20,Yes,15.2,50,2010-06-07
2010,06,08,14,No,14.8,57,2010-06-08
2010,06,09,13,Yes,16.1,4,2010-06-09
2010,06,10,16,Yes,15.4,10,2010-06-10
2010,06,14,22,No,17.4,75,2010-06-14
2010,06,15,22,No,16.2,16,2010-06-15
2010,06,19,19,No,16.9,130,2010-06-19
2010,06,21,22,No,17.7,80,2010-06-21
2010,06,22,22,Yes,17.1,9,2010-06-22
2010,06,23,20,Yes,18.6,60,2010-06-23
2010,06,24,20,No,17.2,60,2010-06-24
2010,06,26,24,Yes,17.3,15,2010-06-26
2010,06,27,22,Yes,17.1,100,2010-06-27
2010,06,28,21,No,18.5,100,2010-06-28
2010,06,29,16,Yes,11,80,2010-06-29
2010,06,30,20,No,14,90,2010-06-30
2010,07,12,21,Yes,20.3,75,2010-07-12
2010,07,14,21,No,21.8,100,2010-07-14
2010,07,16,27,No,24.1,60,2010-07-16
2010,07,18,18,No,15.1,60,2010-07-18
2010,07,20,27,Yes,18.3,100,2010-07-20
2010,07,21,29,No,19.5,100,2010-07-21
2010,07,22,29,No,13.7,82,2010-07-22
2010,07,23,20,Yes,15.2,75,2010-07-23
2010,07,26,25,No,18.1,15,2010-07-26
2010,07,28,21,Yes,21.2,100,2010-07-28
2010,07,29,25,Yes,14,15,2010-07-29
2010,07,31,14,No,17.2,75,2010-07-31
2010,08,02,19,No,20.1,75,2010-08-02
2010,05,25,26,No,14,30,2010-05-25
2010,05,26,31,No,16,36,2010-05-26
2010,05,28,22,No,15.2,10,2010-05-28
2010,05,31,22,No,15.9,8,2010-05-31
2010,07,19,27,Yes,23,29,2010-07-19
2010,07,20,24,Yes,19.8,12,2010-07-20
2010,07,22,22,No,19.6,25,2010-07-22
2010,07,23,24,Yes,22,18,2010-07-23
2010,07,24,26,Yes,19.6,9,2010-07-24
2010,07,25,24,Yes,20.6,8,2010-07-25
2010,07,26,28,No,19.5,15,2010-07-26
2010,07,27,30,No,20.6,30,2010-07-27
2010,07,28,30,Yes,21,15,2010-07-28
2010,07,29,21,Yes,20.4,30,2010-07-29
2010,07,30,19,No,18.8,25,2010-07-30
2010,08,01,19,Yes,19,25,2010-08-01
2010,08,08,21,No,18.3,7,2010-08-08
2010,08,08,21,No,16.7,12,2010-08-08
2010,08,08,21,No,17.9,25,2010-08-08
2010,08,08,21,No,18.8,10,2010-08-08
2010,08,08,18,Yes,20.5,6,2010-08-08
2010,08,08,18,Yes,18,35,2010-08-08
2010,08,08,18,Yes,14.4,90,2010-08-08
2009,08,04,24,No,19,120,2009-08-04
2009,08,05,23,Yes,17,40,2009-08-05
2009,08,06,25,Yes,18,20,2009-08-06
2009,08,09,20,Yes,17.5,85,2009-08-09
2009,08,10,22,Yes,18,30,2009-08-10
2009,08,17,31,No,23,10,2009-08-17
2009,08,19,25,Yes,21.9,2,2009-08-19
2009,08,22,24,Yes,19.7,5,2009-08-22
2009,08,23,22,No,18.9,10,2009-08-23
2009,08,25,19,No,17.8,3,2009-08-25
2009,08,26,18,No,20.5,15,2009-08-26
2009,08,29,20,Yes,9.3,50,2009-08-29
2009,08,30,18,No,19,30,2009-08-30
2009,09,01,22,No,19.7,15,2009-09-01
2009,09,02,23,No,18.7,13,2009-09-02
2009,05,27,17,Yes,9.2,5,2009-05-27
2009,05,30,17,Yes,9.8,20,2009-05-30
2009,06,01,14,Yes,9.8,10,2009-06-01
2009,06,03,12,No,10.6,12,2009-06-03
2009,06,05,22,No,12.8,42,2009-06-05
2010,08,07,12,No,15.5,2,2010-08-07
2010,08,07,12,No,12.4,100,2010-08-07
2010,08,07,12,No,12.2,20,2010-08-07
2010,08,07,12,No,17.9,30,2010-08-07
2010,08,07,12,No,19.5,10,2010-08-07
2010,08,07,22,No,18.2,12,2010-08-07
2010,08,07,22,No,19.5,70,2010-08-07
2010,08,07,22,No,18.2,95,2010-08-07
2010,08,07,22,No,17.2,45,2010-08-07
2009,05,26,13,No,6,28,2009-05-26
2009,05,27,17,Yes,10.6,5,2009-05-27
2009,05,28,17,Yes,10.8,100,2009-05-28
2009,05,29,18,Yes,10.6,60,2009-05-29
2009,05,30,17,Yes,10.2,76,2009-05-30
2009,06,02,21,Yes,9.5,116,2009-06-02
2009,06,03,12,No,10.8,65,2009-06-03
2009,06,08,15,Yes,12.3,37,2009-06-08
2009,06,09,16,Yes,12.8,100,2009-06-09
2009,06,11,14,No,14.9,31,2009-06-11
2009,06,13,16,No,13.5,115,2009-06-13
2009,06,15,24,Yes,16.5,50,2009-06-15
2009,06,16,18,No,16.6,45,2009-06-16
2009,07,29,17,Yes,20,50,2009-07-29
2009,08,04,24,No,21,100,2009-08-04
2009,08,05,23,Yes,19,30,2009-08-05
2009,08,06,25,Yes,21,25,2009-08-06
2009,08,08,24,No,16.1,10,2009-08-08
2009,08,09,20,Yes,16.3,60,2009-08-09
2009,08,10,22,Yes,17.6,85,2009-08-10
2009,08,11,26,Yes,19.9,62,2009-08-11
2009,08,13,28,No,20.8,50,2009-08-13
2009,08,17,31,No,24.8,85,2009-08-17
2009,08,19,25,Yes,20,65,2009-08-19
2009,08,20,22,No,22.2,7,2009-08-20
2009,08,22,24,Yes,20.1,120,2009-08-22
2009,08,23,22,No,20.4,55,2009-08-23
2009,08,24,24,No,18,35,2009-08-24
2009,08,25,19,No,18.4,75,2009-08-25
2009,08,26,18,No,20,60,2009-08-26
2009,08,27,20,No,17.6,65,2009-08-27
2009,08,30,18,No,19,34,2009-08-30
2009,08,31,18,No,18,35,2009-08-31
2009,09,01,22,No,18.4,48,2009-09-01
2009,09,02,23,No,19.3,45,2009-09-02
2009,09,03,24,No,19.5,110,2009-09-03
2009,05,26,13,No,7,32,2009-05-26
2009,05,28,17,Yes,9.8,30,2009-05-28
2009,05,29,18,Yes,12.1,15,2009-05-29
2009,05,30,17,Yes,9.8,45,2009-05-30
2009,06,01,14,Yes,9.2,25,2009-06-01
2009,06,02,21,Yes,9,45,2009-06-02
2009,06,03,12,No,11.2,35,2009-06-03
2009,06,04,16,No,10.9,100,2009-06-04
2009,06,08,15,Yes,12.5,7,2009-06-08
2009,06,09,16,Yes,13,20,2009-06-09
2009,06,10,14,No,13.1,40,2009-06-10
2009,06,11,14,No,14.9,105,2009-06-11
2009,06,13,16,No,13.2,125,2009-06-13
2009,06,14,25,No,13.8,36,2009-06-14
2009,06,15,24,Yes,16.1,30,2009-06-15
2009,06,16,18,No,16.6,100,2009-06-16
2009,06,17,14,No,15.2,45,2009-06-17
2009,06,21,14,Yes,16.2,140,2009-06-21
2009,07,31,25,Yes,17,67,2009-07-31
2009,08,04,24,No,18,5,2009-08-04
2009,08,05,23,Yes,18,20,2009-08-05
2009,08,06,25,Yes,19,12,2009-08-06
2010,08,09,26,Yes,20.6,30,2010-08-09
2010,08,09,26,Yes,14.9,70,2010-08-09
2010,08,09,26,Yes,14.9,50,2010-08-09
2009,08,08,24,No,16.2,35,2009-08-08
2009,08,11,26,Yes,18.1,45,2009-08-11
2009,08,17,31,No,22.7,40,2009-08-17
2009,08,19,25,Yes,19.1,2,2009-08-19
2009,08,20,22,No,22,10,2009-08-20
2009,08,22,24,Yes,19.8,45,2009-08-22
2009,08,23,22,No,19.4,30,2009-08-23
2009,08,24,24,No,19.6,48,2009-08-24
2009,08,25,19,No,17.9,25,2009-08-25
2009,08,26,18,No,22.3,5,2009-08-26
2009,08,31,18,No,18.9,10,2009-08-31
2009,09,01,22,No,19.2,25,2009-09-01
2009,09,02,23,No,18.3,5,2009-09-02
2009,09,03,24,No,19.2,10,2009-09-03
2009,05,27,17,Yes,9.1,10,2009-05-27
2009,05,30,17,Yes,9.8,45,2009-05-30
2009,06,01,14,Yes,8.3,10,2009-06-01
2009,06,02,21,Yes,9.3,6,2009-06-02
2009,06,03,12,No,9.8,22,2009-06-03
2009,06,11,14,No,13.4,12,2009-06-11
2009,06,13,16,No,12.8,20,2009-06-13
2009,06,17,14,No,16.1,25,2009-06-17
2010,05,25,27,No,15,35,2010-05-25
2010,05,26,30,No,16,35,2010-05-26
2010,05,27,30,No,13,15,2010-05-27
2010,05,28,26,No,16,58,2010-05-28
2010,05,30,30,No,17,45,2010-05-30
2010,05,31,20,No,17.5,70,2010-05-31
2010,06,02,27,Yes,17.5,80,2010-06-02
2010,06,04,23,Yes,18,15,2010-06-04
2010,06,05,20,Yes,19,15,2010-06-05
2010,06,06,17,Yes,17,55,2010-06-06
2010,06,07,19,Yes,16.8,31,2010-06-07
2010,06,08,20,No,16,45,2010-06-08
2010,06,09,15,Yes,14.2,45,2010-06-09
2010,06,10,18,Yes,14.8,72,2010-06-10
2010,06,11,20,No,16.4,104,2010-06-11
2010,06,12,15,No,15.13,92,2010-06-12
2010,06,17,20,Yes,19,34,2010-06-17
2010,06,18,25,No,16.5,50,2010-06-18
2010,06,19,26,Yes,17.7,55,2010-06-19
2010,06,21,25,No,15,51,2010-06-21
2010,06,23,26,Yes,17.9,2,2010-06-23
2010,06,24,25,Yes,13.2,9,2010-06-24
2010,06,25,27,Yes,15,21,2010-06-25
2010,06,26,25,Yes,13,50,2010-06-26
2010,06,27,20,Yes,13.8,40,2010-06-27
2010,06,28,27,Yes,17.6,25,2010-06-28
2010,06,29,21,Yes,16,40,2010-06-29
2010,06,30,21,No,13,30,2010-06-30
2010,07,01,18,No,8.6,80,2010-07-01
2010,07,02,20,No,9.1,60,2010-07-02
2010,07,03,25,No,8.5,17,2010-07-03
2010,07,04,29,No,10.2,30,2010-07-04
2010,07,05,27,No,9.8,50,2010-07-05
2010,07,08,34,No,19,25,2010-07-08
2010,07,11,27,No,20.4,10,2010-07-11
2010,07,12,25,Yes,19.2,50,2010-07-12
2010,07,13,30,Yes,24,45,2010-07-13
2010,07,14,33,No,23,25,2010-07-14
2010,07,15,29,No,21,32,2010-07-15
2010,07,16,29,Yes,23,41,2010-07-16
2010,07,17,30,No,18,24,2010-07-17
2010,07,18,29,No,16.5,12,2010-07-18
2010,07,19,27,Yes,21,24,2010-07-19
2010,07,20,24,Yes,18.4,7,2010-07-20
2010,07,22,22,No,16.9,80,2010-07-22
2010,07,23,24,Yes,19.2,110,2010-07-23
2010,07,24,26,Yes,17.9,50,2010-07-24
2010,07,25,24,Yes,17.2,70,2010-07-25
2010,07,26,28,No,17.9,17,2010-07-26
2010,07,27,30,No,18.8,60,2010-07-27
2010,07,28,30,Yes,18.9,90,2010-07-28
2010,07,29,21,Yes,14,90,2010-07-29
2010,07,30,19,No,14.4,40,2010-07-30
2010,07,31,21,No,16,30,2010-07-31
2010,08,01,19,Yes,20,22,2010-08-01
2010,08,02,30,No,20.5,15,2010-08-02
2010,05,25,27,No,15,15,2010-05-25
2010,05,26,30,No,16,12,2010-05-26
2010,05,27,30,No,14,5,2010-05-27
2010,05,28,26,No,17,30,2010-05-28
2010,05,30,30,No,17,20,2010-05-30
2010,05,31,20,No,18,20,2010-05-31
2010,06,02,27,Yes,17.8,15,2010-06-02
2010,06,04,23,Yes,20,19,2010-06-04
2010,06,05,20,Yes,18,28,2010-06-05
2010,06,06,17,Yes,18.5,20,2010-06-06
2010,06,07,19,Yes,16.2,26,2010-06-07
2010,06,08,20,No,16,17,2010-06-08
2010,06,09,15,Yes,15,20,2010-06-09
2010,06,10,18,Yes,15.62,81,2010-06-10
2010,06,12,15,No,15.4,68,2010-06-12
2010,06,17,20,Yes,12.8,31,2010-06-17
2010,06,18,25,No,17,15,2010-06-18
2010,06,19,26,Yes,20.1,40,2010-06-19
2010,06,20,26,Yes,16.5,120,2010-06-20
2010,06,21,25,No,15,44,2010-06-21
2010,06,22,22,No,17.5,50,2010-06-22
2010,06,23,26,Yes,17.7,30,2010-06-23
2010,06,24,25,Yes,15.7,24,2010-06-24
2010,06,25,27,Yes,15,84,2010-06-25
2010,06,26,25,Yes,15.9,140,2010-06-26
2010,06,27,20,Yes,16.4,80,2010-06-27
2010,06,28,27,Yes,18.7,70,2010-06-28
2010,06,29,21,Yes,14,20,2010-06-29
2010,06,30,21,No,9.2,50,2010-06-30
2010,07,01,18,No,9.2,30,2010-07-01
2010,07,02,20,No,10.1,90,2010-07-02
2010,07,03,25,No,9.1,21,2010-07-03
2010,07,04,29,No,8.2,20,2010-07-04
2010,07,05,27,No,12.4,90,2010-07-05
2010,07,08,34,No,17,15,2010-07-08
2010,07,09,25,Yes,16,9,2010-07-09
2010,07,11,27,No,18.8,95,2010-07-11
2010,07,12,25,Yes,20.4,60,2010-07-12
2010,07,13,30,Yes,24.2,55,2010-07-13
2010,07,14,33,No,21,36,2010-07-14
2010,07,15,29,No,23,45,2010-07-15
2010,07,16,29,Yes,23,32,2010-07-16
2010,07,17,30,No,18,38,2010-07-17
2010,07,18,29,No,15.9,70,2010-07-18
2010,07,19,27,Yes,16,34,2010-07-19
2010,07,20,24,Yes,16.1,24,2010-07-20
2010,07,22,22,No,15.6,25,2010-07-22
2010,07,23,24,Yes,19,110,2010-07-23
2010,07,24,26,Yes,17.9,70,2010-07-24
2010,07,25,24,Yes,17.4,40,2010-07-25
2010,07,26,28,No,18,24,2010-07-26
2010,07,27,30,No,18.4,45,2010-07-27
2010,07,28,30,Yes,18,10,2010-07-28
2010,07,29,21,Yes,11.6,50,2010-07-29
2010,07,30,19,No,14,15,2010-07-30
2010,07,31,21,No,17,40,2010-07-31
2010,08,01,19,Yes,19,30,2010-08-01
2010,08,02,30,No,20,25,2010-08-02
2010,05,25,27,No,15,70,2010-05-25
2010,05,26,30,No,15,30,2010-05-26
2010,05,27,30,No,14,27,2010-05-27
2010,05,28,26,No,17,16,2010-05-28
2010,05,31,20,No,18,20,2010-05-31
2010,06,02,27,Yes,18.2,10,2010-06-02
2010,06,04,23,Yes,17.3,5,2010-06-04
2010,06,05,20,Yes,20,16,2010-06-05
2010,06,06,17,Yes,18,35,2010-06-06
2010,06,07,19,Yes,18.5,20,2010-06-07
2010,06,08,20,No,15,20,2010-06-08
2010,06,09,15,Yes,15.2,17,2010-06-09
